iter,l2_abs,l2_rel
8500,7.336263358593e-02,1.482073391496e-01
9000,7.328311353922e-02,1.480466925922e-01
9500,7.320468127728e-02,1.478882435797e-01
10000,7.312083989382e-02,1.477188670491e-01
10500,7.307265698910e-02,1.476215278486e-01
11000,7.302014529705e-02,1.475154436232e-01
11500,7.295884937048e-02,1.473916134697e-01
12000,7.291981577873e-02,1.473127577296e-01
12500,7.287770509720e-02,1.472276856465e-01
13000,7.282531261444e-02,1.471218422480e-01
13500,7.277821004391e-02,1.470266855408e-01
14000,7.274284213781e-02,1.469552352261e-01
14500,7.269868999720e-02,1.468660389833e-01
15000,7.264479249716e-02,1.467571551459e-01
15500,7.258456945419e-02,1.466354924340e-01
16000,7.252408564091e-02,1.465133029134e-01
16500,7.246119529009e-02,1.463862517008e-01
17000,7.239910960197e-02,1.462608260695e-01
17500,7.233231514692e-02,1.461258877778e-01
18000,7.226679474115e-02,1.459935233229e-01
18500,7.219657301903e-02,1.458516612594e-01
19000,7.213294506073e-02,1.457231199308e-01
19500,7.206913083792e-02,1.455942023102e-01
20000,7.200696319342e-02,1.454686111103e-01
20500,7.194489240646e-02,1.453432155824e-01
21000,7.188407331705e-02,1.452203487362e-01
21500,7.182456552982e-02,1.451001309854e-01
22000,7.177275419235e-02,1.449954616178e-01
22500,7.173950970173e-02,1.449283010313e-01
23000,7.169755548239e-02,1.448435450335e-01
23500,7.164603471756e-02,1.447394626813e-01
24000,7.159275561571e-02,1.446318281331e-01
24500,7.153939455748e-02,1.445240280165e-01
25000,7.148803025484e-02,1.444202617496e-01
25500,7.143848389387e-02,1.443201680920e-01
26000,7.138781249523e-02,1.442178016311e-01
26500,7.133704423904e-02,1.441152394984e-01
27000,7.128810882568e-02,1.440163800784e-01
27500,7.124183326960e-02,1.439228941074e-01
28000,7.119526714087e-02,1.438288211210e-01
28500,7.114905118942e-02,1.437354555634e-01
29000,7.110407948494e-02,1.436446036361e-01
29500,7.105872780085e-02,1.435529840731e-01
30000,7.101376354694e-02,1.434621471974e-01
30500,7.097205519676e-02,1.433778879049e-01
31000,7.092849910259e-02,1.432898957963e-01
31500,7.088579982519e-02,1.432036346307e-01
32000,7.085355371237e-02,1.431384909691e-01
32500,7.082858681679e-02,1.430880527967e-01
33000,7.079758495092e-02,1.430254227652e-01
33500,7.076070457697e-02,1.429509169600e-01
34000,7.072404772043e-02,1.428768627050e-01
34500,7.068779319525e-02,1.428036212407e-01
35000,7.065208256245e-02,1.427314785489e-01
35500,7.061707228422e-02,1.426607507148e-01
36000,7.058183848858e-02,1.425895713303e-01
36500,7.054768502712e-02,1.425205744392e-01
37000,7.051412761211e-02,1.424527816822e-01
37500,7.048116624355e-02,1.423861930595e-01
38000,7.044820487499e-02,1.423196044368e-01
38500,7.041607797146e-02,1.422547016020e-01
39000,7.038427144289e-02,1.421904459894e-01
39500,7.035263627768e-02,1.421265365653e-01
40000,7.032204419374e-02,1.420647343761e-01
40500,7.029173523188e-02,1.420035041507e-01
41000,7.026160508394e-02,1.419426351656e-01
41500,7.023239135742e-02,1.418836175368e-01
42000,7.020351290703e-02,1.418252772336e-01
42500,7.017476856709e-02,1.417672078605e-01
43000,7.014673203230e-02,1.417105683968e-01
43500,7.011949270964e-02,1.416555394627e-01
44000,7.009216398001e-02,1.416003299084e-01
44500,7.006536424160e-02,1.415461890233e-01
45000,7.003941386938e-02,1.414937640294e-01
45500,7.001326978207e-02,1.414409476919e-01
46000,6.998825818300e-02,1.413904192094e-01
46500,6.996273994446e-02,1.413388672128e-01
47000,6.994399428368e-02,1.413009971914e-01
47500,6.992895156145e-02,1.412706078539e-01
48000,6.991054117680e-02,1.412334151580e-01
48500,6.988908350468e-02,1.411900663258e-01
49000,6.986791640520e-02,1.411473045091e-01
49500,6.984682381153e-02,1.411046932092e-01
50000,6.982626020908e-02,1.410631505784e-01
50500,6.980599462986e-02,1.410222100147e-01
51000,6.978610903025e-02,1.409820370866e-01
51500,6.976614892483e-02,1.409417136417e-01
52000,6.974687427282e-02,1.409027749511e-01
52500,6.972767412663e-02,1.408639867774e-01
53000,6.970867514610e-02,1.408256049989e-01
53500,6.969007104635e-02,1.407880209594e-01
54000,6.967174261808e-02,1.407509938319e-01
